,,,,,,,,,*คำนวณ โดยหารจำนวนเดือนที่มียอดขาย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oct 25- Mar 26,,,Total (Oct25-Mar26),,Q4Y25,,Q1Y26,,,12,13,14,15,16,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,,,,,,,,
,FlavorCode,Flavor Description,Flavor,Size,Category,Net Value 6M,GP%,GP amount,AVE QTY,AVE Amount,AVE QTY,AVE Amount,AVE QTY,AVE Amount,Class 2026 Mar,Class 2025 Feb,Class 2024 Jul,Class 2024 Feb,Class 2023 Jul,Class 2023 , FG (Days) , RM (% of Rolling next Month) , CTN/Batch , Minimum Production ," AVG
Act Batch  ", Batch size , Max batch/lot , MOQ require 4 batch (Ctn) , MOQ require 3 batch (Ctn) , MOQ require 2 batch (Ctn) ," CVM
MOQ
FG ", Remark , Supplier PKG , LT PKG , MOQ (PM) ชิ้น , Box/ ctn , MOQ (PM) ลัง ," Price/
pcs "," Shelf Life
PKG (M) "," CVM
MOQ
PKG ", FC ACC Y2025 ,,,,,,,
,1A5A5F20000,SaiNamPhueng--1000ml,SaiNamPhueng--1000ml,1000ml,FJ 100%,"31,642,473",0.216,"6,820,203","7,410","5,273,746","7,686","5,455,874","7,133","5,091,617", A+ , A+ , A+ , A+ , A+ , A+ ,19,100%,849,"1,699",9,"10,400",12,"3,397","2,548","1,699",0.2, -   , SIG ,15,"76,000",12,"6,333",7,18,0.9,79%,,,,,,,
,1A5A5520000,Tangerine--1000ml,Tangerine--1000ml,1000ml,FJ 100%,"30,670,775",0.304,"9,318,712","7,173","5,111,796","7,474","5,324,038","6,872","4,899,553", A+ , A+ , A+ , A+ , A+ , A+ ,19,100%,817,"1,633",8,"10,000",12,"3,267","2,450","1,633",0.2, -   , SIG ,15,"76,000",12,"6,333",7,18,0.9,84%,,, Class , NO.Items , % , Sales , % 
,1A5A5D20000,Pomegranate--1000ml,Pomegranate--1000ml,1000ml,FJ 100%,"22,806,554",0.291,"6,642,096","6,334","3,801,092","5,721","3,559,848","6,946","4,042,336", A+ , A+ , A+ , A+ , A+ , A+ ,19,100%,735,"1,470",22,"9,000",27,"2,940","2,205","1,470",0.2, -   , SIG ,15,"76,000",12,"6,333",6,18,1,84%,,, A+ ,8,13%,"25,162,034",20%
,1A5A5Q60000,Shogun--1000ml,Shogun--1000ml,1000ml,FJ 100%,"20,990,350",0.073,"1,540,312","6,115","3,498,392","5,525","3,219,477","6,705","3,777,306", A+ , A+ , A+ , A+ , A+ , A+ ,19,100%,813,"1,625",10,"9,950",12,"3,250","2,438","1,625",0.3, -   , SIG ,15,"76,000",12,"6,333",7,18,1,83%,,, A ,15,24%,"84,540,056",66%
,1A5A51A0000,Pineapple--970ml,Pineapple--970ml,970ml,FJ 100%,"19,995,134",0.059,"1,182,332","5,639","3,332,522","4,881","2,871,669","6,397","3,793,376", A+ , A , A , A , A+ , A+ ,19,100%,702,"1,405",12,"8,600",27,"2,809","2,107","1,405",0.2, -   , SIG ,15,"76,000",12,"6,333",7,18,1.1,71%,,, B ,13,21%,"10,645,102",8%
,1A5A5950000,Mandarin--1000ml,Mandarin--1000ml,1000ml,FJ 100%,"9,445,485",0.355,"3,350,560","2,363","1,574,248","2,338","1,503,919","2,389","1,611,897", A+ , A+ , A+ , A+ , A , A ,19,100%,653,"1,307",4,"8,000",12,"2,613","1,960","1,307",0.6, -   , SIG ,15,"76,000",12,"6,333",7,18,2.7,76%,,, C ,16,25%,"5,759,103",4%
,1A5A5200000,Apple--1000ml,Apple--1000ml,1000ml,FJ 100%,"8,584,227",0.215,"1,845,296","2,260","1,430,705","2,407","1,506,340","2,113","1,355,069", A+ , A , A+ , A+ , A+ , A+ ,19,100%,743,"1,485",9,"9,094",27,"2,971","2,228","1,485",0.7, -   , SIG ,15,"76,000",12,"6,333",7,18,2.8,74%,,, Watching ,9,14%,"1,929,515",2%
,1A5A5220000,Apple and Grape Juice--1000ml,Apple and Grape Juice--1000ml,1000ml,FJ 100%,"13,180,658",0.377,"4,970,258","3,056","2,196,776","3,173","2,276,293","2,938","2,117,259", A , A , A , A , A , A ,17,60%,751,"1,503",8,"9,200",27,"3,005","2,254","1,503",0.5, -   , SIG ,15,"76,000",12,"6,333",7,18,2.1,75%,,, NPD ,2,3%,"322,440",0%
,1A5A2D20000,Pomegranate--200ml,Pomegranate--200ml,200ml,FJ 100%,"12,210,345",0.424,"5,175,771","6,560","2,035,058","5,186","1,602,518","7,934","2,467,597", A , A+ , A+ , A+ , A+ , A+ ,17,60%,919,"1,838",15,"4,500",17,"3,675","2,756","1,838",0.3, -   , Tetra ,7,"369,000",24,"15,375",2,12,2.3,78%,,, Total ,63,100%,"128,358,249",100%
,1A5A5630000,Valencia--1000ml,Valencia--1000ml,1000ml,FJ 100%,"11,877,013",0.129,"1,531,609","3,150","1,979,502","1,899","1,324,310","4,402","2,634,694", A , B , B , B , B , B ,17,60%,572,"1,143",5,"7,000",27,"2,287","1,715","1,143",0.4, -   , SIG ,15,"76,000",12,"6,333",7,18,2,78%,,,,,,,
,1A5A2520000,Tangerine--200ml,Tangerine--200ml,200ml,FJ 100%,"11,726,439",0.331,"3,880,550","6,110","1,954,406","7,039","2,258,894","5,182","1,649,919", A , A , A , A , A , A ,17,60%,796,"1,593",13,"3,900",17,"3,185","2,389","1,593",0.3, -   , Nippon ,10,"200,000",24,"8,333",1,12,1.4,84%,,,,,,,
,1A5A5430000,RedGrape--1000ml,RedGrape--1000ml,1000ml,FJ 100%,"10,873,341",0.202,"2,191,551","2,826","1,812,224","1,921","1,339,129","3,730","2,285,318", A , A , A , A , A , A ,17,60%,735,"1,470",8,"9,000",27,"2,940","2,205","1,470",0.5, -   , SIG ,15,"76,000",12,"6,333",7,18,2.2,77%,,,,,,,
,1A5A5010000,Homsuwan--970ml ,Homsuwan--970ml ,970ml,FJ 100%,"10,439,756",0.317,"3,311,267","2,695","1,739,959","2,255","1,455,862","3,134","2,024,057", A , A , A , A , A , A ,17,60%,702,"1,405",7,"8,600",27,"2,809","2,107","1,405",0.5, -   , SIG ,15,"76,000",12,"6,333",6,18,2.4,66%,,,,,,,
